 y,Q_l,Q_w,Q_r1,Q_r2,Q_r3,Q_cs,Q_f,Q_s1,Q_s2,Q_s3
   1,     3.5640,     0.0103,    42.0458,    23.5858,     7.6969,     0.0000,   244.6834,  4822.2485,  2282.3931,  1385.9260,
   2,     3.6426,     0.0002,    31.9727,    18.1652,     6.0383,     0.0000,   176.6932,  4698.8096,  2246.0229,  1369.5664,
   3,     3.0848,     0.0000,    45.7418,    27.0682,     9.3140,     0.0000,   222.6529,  4576.1406,  2220.4241,  1358.9552,
   4,     3.3481,     0.6479,    56.0099,    32.8377,    11.1240,     0.0000,   298.9406,  4515.5474,  2213.3745,  1356.4164,
   5,     3.3543,     0.7403,    59.5720,    34.5881,    11.6027,     0.0000,   336.0442,  4501.7646,  2213.2395,  1356.4656,
   6,     3.3582,     0.7577,    60.6594,    35.0761,    11.7292,     0.0000,   351.9752,  4507.5264,  2214.9961,  1357.1466,
   7,     3.3582,     0.7604,    60.9401,    35.1865,    11.7542,     0.0000,   358.5388,  4520.5879,  2217.2422,  1357.9818,
   8,     3.3642,     0.7389,    61.0395,    35.2339,    11.7697,     0.0000,   359.5409,  4535.3657,  2219.4380,  1358.7791,
   9,     3.3587,     0.7663,    61.0834,    35.2519,    11.7733,     0.0000,   361.9320,  4550.4365,  2221.8118,  1359.6526,
  10,     3.3658,     0.7331,    61.0701,    35.2465,    11.7735,     0.0000,   360.4333,  4564.9111,  2223.9434,  1360.4154,
  11,     3.3583,     0.7625,    61.0461,    35.2266,    11.7637,     0.0000,   362.0314,  4578.6646,  2226.2168,  1361.2458,
  12,     3.3583,     0.7680,    61.0939,    35.2560,    11.7742,     0.0000,   363.0457,  4592.4312,  2228.4905,  1362.0792,
  13,     3.3657,     0.7336,    61.0734,    35.2477,    11.7737,     0.0000,   360.9108,  4605.0513,  2230.5112,  1362.8011,
  14,     3.3590,     0.7650,    61.0883,    35.2533,    11.7736,     0.0000,   362.3716,  4616.8125,  2232.6877,  1363.5985,
  15,     3.3608,     0.7615,    61.1001,    35.2606,    11.7764,     0.0000,   362.6403,  4628.3960,  2234.7842,  1364.3640,
  16,     3.3643,     0.7394,    61.0833,    35.2521,    11.7744,     0.0000,   361.1954,  4639.0244,  2236.7393,  1365.0692,
  17,     3.3586,     0.7669,    61.0965,    35.2572,    11.7746,     0.0000,   362.6269,  4649.0854,  2238.8147,  1365.8326,
